DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
2432.0879	 0.0176
2433.9516	 0.0177
2435.8153	 0.0179
2437.6789	 0.0179
2439.5426	 0.0178
2441.4063	 0.0182
2443.2700	 0.0185
2445.1336	 0.0182
2446.9973	 0.0179
2448.8610	 0.0181
2450.7246	 0.0181
2452.5883	 0.0181
2454.4520	 0.0184
2456.3156	 0.0185
2458.1793	 0.0186
2460.0430	 0.0186
2461.9066	 0.0187
2463.7703	 0.0188
2465.6340	 0.0189
2467.4976	 0.0191
2469.3613	 0.0191
2471.2250	 0.0190
2473.0887	 0.0189
2474.9523	 0.0190
2476.8160	 0.0190
2478.6797	 0.0188
2480.5433	 0.0190
2482.4070	 0.0193
2484.2707	 0.0196
2486.1343	 0.0197
2487.9980	 0.0197
2489.8617	 0.0194
2491.7253	 0.0194
2493.5890	 0.0198
2495.4527	 0.0196
2497.3164	 0.0190
2499.1800	 0.0189
2501.0437	 0.0193
2502.9074	 0.0194
2504.7710	 0.0196
2506.6347	 0.0203
2508.4984	 0.0204
2510.3620	 0.0200
2512.2257	 0.0198
2514.0894	 0.0200
2515.9530	 0.0203
2517.8167	 0.0208
2519.6804	 0.0207
2521.5440	 0.0205
2523.4077	 0.0205
2525.2714	 0.0200
2527.1351	 0.0197
2528.9987	 0.0203
2530.8624	 0.0210
2532.7261	 0.0213
2534.5897	 0.0213
2536.4534	 0.0211
2538.3171	 0.0210
2540.1807	 0.0212
2542.0444	 0.0213
2543.9081	 0.0213
2545.7717	 0.0213
2547.6354	 0.0213
2549.4991	 0.0213
2551.3627	 0.0212
2553.2264	 0.0211
2555.0901	 0.0213
2556.9538	 0.0215
2558.8174	 0.0216
2560.6811	 0.0216
2562.5448	 0.0216
2564.4084	 0.0215
2566.2721	 0.0214
2568.1358	 0.0214
2569.9994	 0.0215
2571.8631	 0.0215
2573.7268	 0.0216
2575.5904	 0.0216
2577.4541	 0.0216
2579.3178	 0.0217
2581.1815	 0.0219
2583.0451	 0.0219
2584.9088	 0.0218
2586.7725	 0.0215
2588.6361	 0.0215
2590.4998	 0.0220
2592.3635	 0.0223
2594.2271	 0.0219
2596.0908	 0.0217
2597.9545	 0.0220
2599.8181	 0.0219
2601.6818	 0.0218
2603.5455	 0.0223
2605.4091	 0.0226
2607.2728	 0.0226
2609.1365	 0.0226
2611.0002	 0.0225
2612.8638	 0.0226
2614.7275	 0.0226
2616.5912	 0.0225
2618.4548	 0.0222
2620.3185	 0.0220
2622.1822	 0.0220
2624.0458	 0.0219
2625.9095	 0.0221
2627.7732	 0.0223
2629.6368	 0.0224
2631.5005	 0.0222
2633.3642	 0.0223
2635.2279	 0.0225
2637.0915	 0.0225
2638.9552	 0.0227
2640.8189	 0.0227
2642.6825	 0.0225
2644.5462	 0.0226
2646.4099	 0.0228
2648.2735	 0.0227
2650.1372	 0.0223
2652.0009	 0.0225
2653.8645	 0.0229
2655.7282	 0.0229
2657.5919	 0.0228
2659.4555	 0.0228
2661.3192	 0.0227
2663.1829	 0.0225
2665.0466	 0.0226
2666.9102	 0.0228
2668.7739	 0.0228
2670.6376	 0.0229
2672.5012	 0.0230
2674.3649	 0.0230
2676.2286	 0.0228
2678.0922	 0.0228
2679.9559	 0.0230
2681.8196	 0.0231
2683.6832	 0.0232
2685.5469	 0.0232
2687.4106	 0.0230
2689.2742	 0.0227
2691.1379	 0.0230
2693.0016	 0.0232
2694.8653	 0.0233
2696.7289	 0.0234
2698.5926	 0.0235
2700.4563	 0.0237
2702.3199	 0.0237
2704.1836	 0.0236
2706.0473	 0.0236
2707.9109	 0.0236
2709.7746	 0.0241
2711.6383	 0.0240
2713.5019	 0.0238
2715.3656	 0.0240
2717.2293	 0.0244
2719.0930	 0.0243
2720.9566	 0.0243
2722.8203	 0.0245
2724.6840	 0.0243
2726.5476	 0.0242
2728.4113	 0.0247
2730.2750	 0.0251
2732.1386	 0.0252
2734.0023	 0.0251
2735.8660	 0.0251
2737.7296	 0.0250
2739.5933	 0.0251
2741.4570	 0.0251
2743.3206	 0.0253
2745.1843	 0.0254
2747.0480	 0.0256
2748.9117	 0.0258
2750.7753	 0.0258
2752.6390	 0.0255
2754.5027	 0.0257
2756.3663	 0.0259
2758.2300	 0.0260
2760.0937	 0.0263
2761.9573	 0.0264
2763.8210	 0.0263
2765.6847	 0.0266
2767.5483	 0.0269
2769.4120	 0.0270
2771.2757	 0.0270
2773.1394	 0.0269
2775.0030	 0.0270
2776.8667	 0.0276
2778.7304	 0.0276
2780.5940	 0.0274
2782.4577	 0.0276
2784.3214	 0.0280
2786.1850	 0.0282
2788.0487	 0.0283
2789.9124	 0.0284
2791.7760	 0.0288
2793.6397	 0.0294
2795.5034	 0.0299
2797.3670	 0.0298
2799.2307	 0.0297
2801.0944	 0.0299
2802.9581	 0.0304
2804.8217	 0.0308
2806.6854	 0.0312
2808.5491	 0.0311
2810.4127	 0.0311
